Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
Alameda,Fremont,PLF Debt,Utility Users Tax: Impose Tax of 4% for 6 Yrs,Special Tax Fees/Levy,L,42.7,57.3,Fail,Majority,2006,General,11/7/2006 0:00
Riverside,Indian Wells,PLF Debt,Transient Occupancy Tax: Impose a 9.25% Tax on Condominium Hotel Guests,Special Tax Fees/Levy,P,82.1,17.9,Pass,Majority,2006,General,11/7/2006 0:00
Los Angeles,Inglewood,Sales Tax Revenue Bond,Sales Tax: Impose 1/2› Sales Tax,Special Tax Fees/Levy,IT,52,48,Pass,Majority,2006,General,11/7/2006 0:00
Orange,La Habra,PLF Debt,Transient Occupancy Tax: Impose a 10% Tax,Special Tax Fees/Levy,U,46.7,53.3,Fail,Majority,2006,General,11/7/2006 0:00
Del Norte,Crescent City,PLF Debt,Transient Occupancy Tax: Increase from 10% to 12%,Special Tax Fees/Levy,D,32.9,67.1,Fail,Majority,2006,General,11/7/2006 0:00
San Joaquin,Lodi,Sales Tax Revenue Bond,"Sales Tax: Effective 4/1/2007, Establish a 10 Year 1/4› Sales Tax.",Special Tax Fees/Levy,G,43.9,56.1,Fail,two-thirds,2006,General,11/7/2006 0:00
Humboldt,Eureka,PLF Debt,Utility Users Tax: Continue 3% Tax for Fours Years Until 6/30/2011,Special Tax Fees/Levy,U,51.6,48.4,Pass,Majority,2006,General,11/7/2006 0:00
San Luis Obispo,Pismo Beach,Sales Tax Revenue Bond,"Sales Tax: Impose a 1/2› Sales Tax to Help Preserve, Enhance and Improve the Infrastructure, Safety and Character of Pismo Beach",Special Tax Fees/Levy,CC-06,49.1,50.9,Fail,Majority,2006,General,11/7/2006 0:00
Contra Costa,Richmond,PLF Debt,"Business License Tax: Levy New Tax on Manufacturing Equal to 1/8% of the Value of the Raw Materials Used in the Manufacturing Process Per Year, Increase Most Other Categories of Business Taxes by 10%, and Annually Tax Landlords Up to $90 Per Unit for Residential Non-Residential Property",Special Tax Fees/Levy,T,42.3,57.7,Fail,Majority,2006,General,11/7/2006 0:00
Sacramento,Sacramento County,Sales Tax Revenue Bond,Sales Tax: Impose a 1/4% Sales Tax for 15 Yrs,Special Tax Fees/Levy,R,19.6,80.4,Fail,Majority,2006,General,11/7/2006 0:00
Sonoma,Cotati,PLF Debt,Transient Occupancy Tax: Increase Tax from 10% to 12%,Special Tax Fees/Levy,G,36,64,Fail,Majority,2006,General,11/7/2006 0:00
San Bernardino,San Bernardino,Sales Tax Revenue Bond,Sales Tax: Impose a 1/4› Sales Tax,Special Tax Fees/Levy,Z,67.1,32.9,Pass,Majority,2006,General,11/7/2006 0:00
San Francisco,San Francisco City & County,PLF Debt,Parking Tax: Increase Parking Tax from 25% to 35% and Apply to Valet Parking Services,Special Tax Fees/Levy,Prop E,32.8,67.2,Fail,Majority,2006,General,11/7/2006 0:00
San Luis Obispo,San Luis Obispo,Sales Tax Revenue Bond,Sales Tax: Increase the City Sales Tax by 1/2› for General Services for 8 Yrs,Special Tax Fees/Levy,Y-06,64.8,35.2,Pass,Majority,2006,General,11/7/2006 0:00
Santa Cruz,Santa Cruz,Sales Tax Revenue Bond,Sales Tax: Increase Sales Tax from 1/4% to 1/2%.,Special Tax Fees/Levy,H,58,42,Pass,Majority,2006,General,11/7/2006 0:00
San Luis Obispo,Morro Bay,Sales Tax Revenue Bond,Sales Tax: Increase the City Sales Tax by 1/2› to Preserve Morro Bay's Safety and Character by Funding Essential General City Services,Special Tax Fees/Levy,Q-06,65,35,Pass,Majority,2006,General,11/7/2006 0:00
Mendocino,Ukiah,PLF Debt,Transient Occupancy Tax: Increase from 8% to 10%,Special Tax Fees/Levy,X,53.3,46.7,Pass,Majority,2006,General,11/7/2006 0:00
San Diego,Vista,Sales Tax Revenue Bond,Sales Tax: Impose a 1/2% Sales Tax,Special Tax Fees/Levy,L,54,46,Pass,Majority,2006,General,11/7/2006 0:00
Santa Cruz,Watsonville,Sales Tax Revenue Bond,Sales Tax: Increase Sales Tax by 1/4%,Special Tax Fees/Levy,L,60,40,Pass,Majority,2006,General,11/7/2006 0:00
Riverside,La Quinta,PLF Debt,Transient Occupancy Tax: Validate and Continue Current Tax of 10%,Special Tax Fees/Levy,J,78.8,21.2,Pass,Majority,2006,General,11/7/2006 0:00
Merced,Livingston,PLF Debt,Transient Occupancy Tax: Impose an 11% Tax,Special Tax Fees/Levy,D,39.6,60.5,Fail,Majority,2006,General,11/7/2006 0:00
Santa Barbara,Solvang,PLF Debt,Transient Occupancy Tax: Impose a Special Tax of 2% for Tourism and Lower the General Tax from 10% to 9%,Special Tax Fees/Levy,L2006,48,52,Fail,two-thirds,2006,General,11/7/2006 0:00
San Benito,Hollister,Sales Tax Revenue Bond,Sales Tax: Impose a 1› Sales Tax,Special Tax Fees/Levy,R,47.8,52.2,Fail,Majority,2006,General,11/7/2006 0:00
Inyo,Inyo County,PLF Debt,Transient Occupancy Tax: Increase Tax from 9% to 12%,Special Tax Fees/Levy,B,52,48,Pass,Majority,2006,General,11/7/2006 0:00
San Mateo,Daly City,PLF Debt,"Utility Users Tax: Continue to Collect 5% Utility Users Tax for City Services Including Police, Fire, Parks, Libraries, and Recreation Programs (Low-Income Seniors, Blind and Disabled Persons Are Exempt)",Special Tax Fees/Levy,G,71.4,28.6,Pass,Majority,2006,General,11/7/2006 0:00
Solano,Rio Vista,PLF Debt,Transient Occupancy Tax: Increase Tax from 8% to 10%,Special Tax Fees/Levy,K,62.6,37.4,Pass,Majority,2006,General,11/7/2006 0:00
San Mateo,Menlo Park,PLF Debt,"Utility Users Tax: Impose a 3.5% Utility Users Tax on Electricity, Natural Gas, and Water and a 2.5% Tax on Communications to Be Reviewed Every 2 Yrs and Terminated If No Longer Necessary",Special Tax Fees/Levy,K,50.3,49.7,Pass,Majority,2006,General,11/7/2006 0:00
San Luis Obispo,Arroyo Grande,Sales Tax Revenue Bond,Sales Tax: Impose 1/2› Sales Tax to Fund Community Needs,Special Tax Fees/Levy,O-06,50.1,49.9,Pass,Majority,2006,General,11/7/2006 0:00
Monterey,Del Rey Oaks,Sales Tax Revenue Bond,Sales Tax: Impose a 1% Tax for a Period of Not More Than 5 Yrs,Special Tax Fees/Levy,D,56.6,43.4,Pass,Majority,2006,General,11/7/2006 0:00
Fresno,Fowler,PLF Debt,"Utility Users Tax: Continue Current Tax of 5% for Residential Users of Electricity and Gas, 3% for Commercial, Industrial, and Agricultural Users of Electricity and Gas, and 5% of the Base Service Rate Upon All Users of Telephone Service",Special Tax Fees/Levy,G,65.9,34.1,Pass,Majority,2006,General,11/7/2006 0:00
San Bernardino,Hesperia,PLF Debt,Transient Occupancy Tax: Increasing Tax from 7% to 10%,Special Tax Fees/Levy,M,53.5,46.5,Pass,Majority,2006,General,11/7/2006 0:00
San Bernardino,Needles,Sales Tax Revenue Bond,"Sales Tax: Tax to Be Increased by 1/4 of 1%, Automatically Expiring In 10 Yrs",Special Tax Fees/Levy,Q,59.2,40.8,Fail,two-thirds,2006,General,11/7/2006 0:00
Glenn,Orland,PLF Debt,Transient Occupancy Tax: Increase Tax from 8% to 10%,Special Tax Fees/Levy,H,59.7,40.3,Pass,Majority,2006,General,11/7/2006 0:00
San Mateo,Portola Valley,PLF Debt,"Utility Users Tax: Lowers the Existing 5.5% Utility Users Tax Levied on Telephone, Gas, Water, and Electricity to 4.5% for a Period of Three Years and Five Months Beginning 2/1/2007 Through 6/30/2010",Special Tax Fees/Levy,F,86.2,13.8,Pass,Majority,2006,General,11/7/2006 0:00
Yuba,Wheatland,PLF Debt,Transient Occupancy Tax: Impose a 10% Tax,Special Tax Fees/Levy,M,65.5,34.5,Pass,Majority,2006,General,11/7/2006 0:00
Colusa,Williams,Sales Tax Revenue Bond,Sales Tax: Enact a 1/2› Sales Tax for 6 Yrs,Special Tax Fees/Levy,D,54.2,45.8,Pass,Majority,2006,General,11/7/2006 0:00
Contra Costa,Pinole,Sales Tax Revenue Bond,Sales Tax: Increase Sales Tax from 8.25% to 8.75%,Special Tax Fees/Levy,S,59.7,40.4,Pass,Majority,2006,General,11/7/2006 0:00
Los Angeles,San Marino,PLF Debt,"Utility Users Tax: Continue Current Tax of 5% on Electricity, Gas, Telephone Service, Cable TV, and Water",Special Tax Fees/Levy,G,58.3,41.7,Pass,Majority,2006,General,11/7/2006 0:00
San Luis Obispo,Grover Beach,Sales Tax Revenue Bond,Sales Tax: Increase the City Sales Tax by 1/2› for General Services,Special Tax Fees/Levy,X-06,55.7,44.3,Pass,Majority,2006,General,11/7/2006 0:00
Yolo,Woodland,Sales Tax Revenue Bond,Sales Tax: Extend 1/2› Sales Tax,Special Tax Fees/Levy,E,63.1,36.9,Pass,Majority,2006,Primary,6/6/2006 0:00
Imperial,Calexico,PLF Debt,Transient Occupancy Tax: Increase from 7% to 10%,Special Tax Fees/Levy,R,52.3,47.7,Pass,Majority,2006,Primary,6/6/2006 0:00
Santa Clara,Santa Clara County,Sales Tax Revenue Bond,Sales Tax: Impose a 1/2› Sales Tax for 30 Yrs,Special Tax Fees/Levy,A,42.9,57.1,Fail,Majority,2006,Primary,6/6/2006 0:00
Mono,Mammoth Lakes,Sales Tax Election,Sales Tax: 1/2› Sales Tax Increase,Special Tax Fees/Levy,S,44,56,Fail,Majority,2006,Primary,6/6/2006 0:00
San Diego,National City,Sales Tax Revenue Bond,Sales Tax: Impose a 1% Tax for Up to 10 Yrs,Special Tax Fees/Levy,D,59,41,Pass,Majority,2006,Primary,6/6/2006 0:00
Glenn,Glenn County,PLF Debt,Transient Occupancy Tax: Increase from 5% to 10%,Special Tax Fees/Levy,E,41.7,58.3,Fail,Majority,2006,Primary,6/6/2006 0:00
Los Angeles,Baldwin Park,PLF Debt,Transient Occupancy Tax: Increase from 10% to 11% As of 1/1/2006; and Be Increased from 11% to 12% As of 1/1/2008,Special Tax Fees/Levy,B,38.3,61.7,Fail,Majority,2005,Special,11/8/2005 0:00
Solano,Fairfield,PLF Debt,Sales Tax: An Ordinance to Be Adopted Increasing the City Sales Tax by 1/2› to Expire 6/30/2016,Special Tax Fees/Levy,E,45.4,54.6,Fail,Majority,2005,Special,11/8/2005 0:00
Riverside,Indian Wells,PLF Debt,Admissions Tax: Increase the Maximum Allowable Admission Tax from the Current 5% to 10%. The Admission Tax Would Remain 5% for Calendar Year 2006,Special Tax Fees/Levy,H,82,18,Pass,Majority,2005,Special,11/8/2005 0:00
Orange,La Habra,Sales Tax Revenue Bond,"Sales Tax: Reduce the Tax from 6% to 4.5% on All Utilities, Maintain a 4.5% Rate on Electricity, Effective 7/1/2006. Also Extend the 4.5% Tax Rate for All Utilities Beyond the Current Termination Date 12/31/2007.",Special Tax Fees/Levy,G,47.4,52.6,Fail,Majority,2005,Special,11/8/2005 0:00
Contra Costa,Clayton,PLF Debt,"Parcel Tax: Finance Public Services and Facilities Through Community Facilities District 2005-1 (Replacing Existing District 1997-1) in the Initial Annual Amount of $365 Per Residential Parcel and Non-Residential Acre (Subject to Annual CPI Increases), for Public Landscaping, Weed Abatement, Trails, Downtown Park, Fountain and Related Costs, and Issue No More Than $2,800,000 In Improvement Bonds",Special Tax Fees/Levy,M,46.1,54,Fail,two-thirds,2005,Special,11/8/2005 0:00
San Mateo,Millbrae,PLF Debt,Parking Tax: A 10% Parking Tax on Fees Paid to Park Vehicles In Offstreet Private Parking Spaces,Special Tax Fees/Levy,Q,50.5,49.5,Pass,Majority,2005,Special,11/8/2005 0:00
Contra Costa,Richmond,PLF Debt,Sales Tax: An Ordinance Amending the City of Richmond Transactions and Use Tax Ordinance to Increase the Tax Rate by 1/2%,Special Tax Fees/Levy,Q,34.9,65.1,Fail,Majority,2005,Special,11/8/2005 0:00
Monterey,Salinas,Sales Tax Revenue Bond,"Sales Tax: Impose a Transactions and Use Tax of 1/2›, Which Would Sunset In 10 Yrs",Special Tax Fees/Levy,V,61.9,38.1,Pass,Majority,2005,Special,11/8/2005 0:00
Ventura,San Buenaventura,PLF Debt,Card Room Tax: 15% of the Gross Revenues Received by the License Holder from Card Play,Special Tax Fees/Levy,D5,69.6,30.4,Pass,Majority,2005,Special,11/8/2005 0:00
Tulare,Tulare,Sales Tax Revenue Bond,Sales Tax: Sales Tax Increase by a Maximum of 1/2 of 1›,Special Tax Fees/Levy,I,71.3,28.7,Pass,Majority,2005,Special,11/8/2005 0:00
Marin,San Rafael,Sales Tax Revenue Bond,Sales Tax: Transactions and UseTax Rate at 1/2 of 1% (0.50%),Special Tax Fees/Levy,S,70.3,29.7,Pass,Majority,2005,Special,11/8/2005 0:00
Santa Cruz,Scotts Valley,PLF Debt,Transactions and Use Tax: 5 Yr Temporary 1/2 of 1% Sales Tax Rate Increase Be Approved for the First Three Year Period and Then Reduced to 1/4 of 1% for the Final 2 Yrs,Special Tax Fees/Levy,C,71.5,28.5,Pass,Majority,2005,Special,11/8/2005 0:00
Los Angeles,Commerce,PLF Debt,Transient Occupancy Tax: The Tax Is 12% of the Rent Charged by the Operator of Any Hotel,Special Tax Fees/Levy,A,58.6,41.4,Pass,Majority,2005,Special,11/8/2005 0:00
Santa Clara,Sunnyvale,PLF Debt,"Business License Tax: Increase from Its Current Amount of $10 for Every Five Employees/ Rental Units, to $30 for One, $50 for Two to Five, and $50 for EachAdditional Group of Five Employees/ Rental Units, Up to $9,500 for Employeesand $4,250 for Rentals",Special Tax Fees/Levy,D,56.6,43.4,Pass,Majority,2005,Special,11/8/2005 0:00
Santa Clara,Sunnyvale,PLF Debt,"Transient Occupancy Tax: Increase the Transient Occupancy Tax, Which Is Charged only on Persons Who Occupy Hotel or Motel Rooms in the City for 30 Days or Less, from the Current 8.5% to 9.5% Over a 2 Yr Period",Special Tax Fees/Levy,E,69.3,30.7,Pass,Majority,2005,Special,11/8/2005 0:00
San Diego,National City,Sales Tax Revenue Bond,Sales Tax: 1% Use and Transaction Fee,Special Tax Fees/Levy,B,43.2,56.9,Fail,55%,2005,Special,11/8/2005 0:00
Imperial,Brawley,PLF Debt,Utility Users Tax: A 4.0% Utility Users Tax,Special Tax Fees/Levy,O,51.7,48.3,Pass,Majority,2005,Special,11/8/2005 0:00
Merced,Merced,Sales Tax Revenue Bond,Sales Tax: Sales Taxby «› for Every Taxable Dollar Spent for Not More Than 20 Yrs,Special Tax Fees/Levy,C,64.3,35.7,Pass,Majority,2005,Special,11/8/2005 0:00
Tulare,Farmersville,PLF Debt,Utility Users Tax: A 4.0% Utility Users Tax within the City of Farmersville,Special Tax Fees/Levy,G,46.1,53.9,Fail,55%,2005,Special,11/8/2005 0:00
San Mateo,Portola Valley,PLF Debt,Utility Users Tax: Adjust Appropriations Limit Each Fiscal Year Commencing 7/1/2006 by the Amount of Money Collected from the Existing 5.5% Rate Not to Exceed Four Years from the End of Fiscal Year 2005/2006,Special Tax Fees/Levy,H,52.2,47.8,Pass,Majority,2005,Special,11/8/2005 0:00
San Mateo,Portola Valley,PLF Debt,"Utility Users Tax: Continue the 2% Utility Users Tax, for Open Space Purposes only, Commencing 7/1/2006, Not to Exceed 4 Yrs from the End of Fiscal Year 2005/2006",Special Tax Fees/Levy,I,57.5,42.5,Pass,Majority,2005,Special,11/8/2005 0:00
Sierra,Sierra County,PLF Debt,Transient Occupancy Tax: Extend 10% Tax to Campers on Federally Owned Land,Special Tax Fees/Levy,A,59.6,40.4,Pass,Majority,2005,Special,11/8/2005 0:00
Lake,Cobb Area Water District,PLF Debt,Parcel Tax: Annual Tax of $55 Per Year Parcel,Special Tax Fees/Levy,K,76.8,23.2,Pass,two-thirds,2005,Special,11/8/2005 0:00
Merced,Atwater,Sales Tax Revenue Bond,Sales Tax: Establisha 1% Sales Tax for 4 Yrs,Special Tax Fees/Levy,Q,44.4,55.6,Fail,Majority,2004,General,11/2/2004 0:00
Orange,Brea,PLF Debt,Business Tax: $30 Per Year to $70 for Small Businesses Over 2 Yrs,Special Tax Fees/Levy,C,40.5,59.5,Fail,Majority,2004,General,11/2/2004 0:00
Santa Cruz,Capitola,Sales Tax Revenue Bond,"Sales Tax: Impose a Five-Year 1/4% Tax Increase from 8% to 8.25%, Effective Immediately Through 6/30/2010",Special Tax Fees/Levy,P,59.7,40.3,Pass,Majority,2004,General,11/2/2004 0:00
Riverside,Cathedral City,PLF Debt,TOT: Increase from 10%-11% on 1/1/2005; Increase from 11%-11.5% on 1/1/2006; Increase from 11.5%-12% on 1/1/2007,Special Tax Fees/Levy,R,52.5,47.5,Pass,Majority,2004,General,11/2/2004 0:00
Kern,Delano,Sales Tax Revenue Bond,Sales Tax: Temporary .5% Increase Ending In 10 Yrs,Special Tax Fees/Levy,P,46.5,53.6,Fail,Majority,2004,General,11/2/2004 0:00
San Diego,Del Mar,PLF Debt,"Real Property Transfer Tax: Not to Exceed $6 Per $1,000 of Value on Sales and Transfers of Real Property",Special Tax Fees/Levy,N,24.7,75.3,Fail,Majority,2004,General,11/2/2004 0:00
Del Norte,Del Norte County,Sales Tax Revenue Bond,Sales Tax: Increase Sales Tax .5%,Special Tax Fees/Levy,C,25.1,74.9,Fail,Majority,2004,General,11/2/2004 0:00
Contra Costa,El Cerrito,PLF Debt,Utility Users Tax: 8%,Special Tax Fees/Levy,K,65.6,34.4,Pass,Majority,2004,General,11/2/2004 0:00
Fresno,Fresno County,PLF Debt,Transient Occupancy Tax: Impose 6% Transient Occupancy Tax to Expire 12/31/2011,Special Tax Fees/Levy,J,44.2,55.8,Fail,two-thirds,2004,General,11/2/2004 0:00
Stanislaus,Oakdale,PLF Debt,TOT: Increase from 7% to 10%,Special Tax Fees/Levy,A,38.9,61.2,Fail,Majority,2004,General,11/2/2004 0:00
Contra Costa,Hercules,PLF Debt,Utility Users Tax: Continue 6% Utility Users Tax for 20 Years,Special Tax Fees/Levy,L,76.6,23.4,Pass,Majority,2004,General,11/2/2004 0:00
Humboldt,Humboldt County,Sales Tax Revenue Bond,Sales Tax: Temporary 1% Increase Ending 6/30/09,Special Tax Fees/Levy,L,29.9,70.1,Fail,Majority,2004,General,11/2/2004 0:00
Riverside,Indio,PLF Debt,TOT: Increase from 10%-12%,Special Tax Fees/Levy,OO,35.7,64.4,Fail,Majority,2004,General,11/2/2004 0:00
Fresno,Kerman,PLF Debt,TOT: Institute 8%,Special Tax Fees/Levy,T,49.7,50.4,Fail,Majority,2004,General,11/2/2004 0:00
San Joaquin,Manteca,Sales Tax Revenue Bond,Sales Tax: .25% Transactions and Use (Sales) Tax Ordinance,Special Tax Fees/Levy,Z,22,78,Fail,Majority,2004,General,11/2/2004 0:00
Contra Costa,Martinez,General Obligation Bond,"$30,000,000 ",Special Tax Fees/Levy,O,61.9,38.1,Fail,two-thirds,2004,General,11/2/2004 0:00
Stanislaus,Turlock,Sales Tax Revenue Bond,Sales Tax: 1/2›,Special Tax Fees/Levy,F,49.6,50.4,Fail,Majority,2004,General,11/2/2004 0:00
Napa,Napa County,PLF Debt,TOT: Increase by 1.5% from 10.5% to 12.5%,Special Tax Fees/Levy,V,61.9,38.2,Pass,Majority,2004,General,11/2/2004 0:00
Butte,Oroville,PLF Debt,TOT: Increase from 9% to 12%,Special Tax Fees/Levy,P,40.7,59.3,Fail,Majority,2004,General,11/2/2004 0:00
Riverside,Palm Springs,PLF Debt,Utility Users Tax: 3% Increase for No Longer Than 3 Yrs,Special Tax Fees/Levy,V,25.3,74.7,Fail,Majority,2004,General,11/2/2004 0:00
Monterey,Marina,PLF Debt,"Utility Users Tax: Periods Not to Exceed 2 Yrs, Amt Not to Exceed 5%,Tax May Be Overturned Any Time by Subsequent Referendum Vote and May Not be Imposed after 1/1/2011",Special Tax Fees/Levy,M,49.1,50.9,Fail,Majority,2004,General,11/2/2004 0:00
Contra Costa,Richmond,Sales Tax Revenue Bond,Sales Tax: Increase Sales Tax from 8.25% to 8.75%,Special Tax Fees/Levy,Q,59.8,40.2,Pass,Majority,2004,General,11/2/2004 0:00
Kern,Ridgecrest,Sales Tax Revenue Bond,Sales Tax: Increase of 3/4 of 1%,Special Tax Fees/Levy,Q,35.2,64.8,Fail,Majority,2004,General,11/2/2004 0:00
San Diego,San Diego,PLF Debt,TOT: Increase from 10.5% to 13%,Special Tax Fees/Levy,J,41.6,58.4,Fail,Majority,2004,General,11/2/2004 0:00
Santa Clara,Saratoga,PLF Debt,Utility Users Tax: Asses a 4% Tax on Users for 10 Yrs; 7/1/2005 Through 6/30/2015,Special Tax Fees/Levy,V,20,80,Fail,Majority,2004,General,11/2/2004 0:00
Imperial,Calexico,PLF Debt,TOT: Increase from 7% to 10%,Special Tax Fees/Levy,K,60,40,Fail,two-thirds,2004,General,11/2/2004 0:00
San Francisco,San Francisco City & County,Sales Tax Revenue Bond,Sales Tax: Increase of .25% from 2.5% to2.75%,Special Tax Fees/Levy,Prop J,42,58.1,Fail,Majority,2004,General,11/2/2004 0:00
San Francisco,San Francisco City & County,PLF Debt,"Gross Receipts Tax: Create a Four Year 0.1% Tax on GrossReceipts from Buisnesses, Effective 2005 Through 12/31/2008",Special Tax Fees/Levy,Prop K,45.4,54.6,Fail,Majority,2004,General,11/2/2004 0:00
Contra Costa,San Pablo,PLF Debt,TOT: Increase to 12%,Special Tax Fees/Levy,T,52.9,47.1,Pass,Majority,2004,General,11/2/2004 0:00
Contra Costa,San Pablo,PLF Debt,Utility Users Tax: Reduce from 8% to 7%,Special Tax Fees/Levy,S,72.3,27.7,Pass,Majority,2004,General,11/2/2004 0:00
Contra Costa,San Ramon,PLF Debt,TOT: Increase In Steps Over 5 Years Beginning 1/1/05 from 7.25% to a Maximum of 10% on 1/1/09,Special Tax Fees/Levy,U,48.6,51.4,Fail,two-thirds,2004,General,11/2/2004 0:00
Orange,Santa Ana,PLF Debt,TOT/Hotel Vistor Tax (HVT): Increase from 9% to 11%,Special Tax Fees/Levy,M,57.2,42.8,Pass,Majority,2004,General,11/2/2004 0:00
Los Angeles,Santa Monica,PLF Debt,TOT: Increase from 12% to 14%,Special Tax Fees/Levy,N,74.7,25.3,Pass,Majority,2004,General,11/2/2004 0:00
Sonoma,Sebastopol,Sales Tax Revenue Bond,Sales Tax: Increase of 0.125%,Special Tax Fees/Levy,T,67.4,32.6,Pass,Majority,2004,General,11/2/2004 0:00
Monterey,Monterey,PLF Debt,Sales Tax: Increase .25% to Expire In 5 Yrs,Special Tax Fees/Levy,K,49.1,50.9,Fail,Majority,2004,General,11/2/2004 0:00
Tehama,Tehama County,Sales Tax Revenue Bond,Sales Tax: 1/2% Increase from 7.25% to 7.75%,Special Tax Fees/Levy,B,27.2,72.8,Fail,Majority,2004,General,11/2/2004 0:00
Santa Cruz,Watsonville,Sales Tax Revenue Bond,Sales Tax: Impose a 1/4% Tax Increase from 8% to 8.25% Effective Immediately,Special Tax Fees/Levy,Q,37.2,62.8,Fail,Majority,2004,General,11/2/2004 0:00
Merced,Livingston,PLF Debt,Transient Occupancy Tax: Establish a 9% Tax,Special Tax Fees/Levy,G,53.1,46.9,Pass,Majority,2004,General,11/2/2004 0:00
Inyo,Inyo County,PLF Debt,TOT: Increase by 3% (Up from 9% to 12%),Special Tax Fees/Levy,O,45.6,54.4,Fail,Majority,2004,General,11/2/2004 0:00
Inyo,Inyo County,Sales Tax Revenue Bond,Sales Tax: Increase 1/2%,Special Tax Fees/Levy,U,36.7,63.3,Fail,Majority,2004,General,11/2/2004 0:00
Marin,Sausalito,PLF Debt,TOT: Increase from 10% Not to Exceed 12%,Special Tax Fees/Levy,J,58.8,41.2,Pass,Majority,2004,General,11/2/2004 0:00
Marin,Corte Madera,PLF Debt,Levy an Annual Tax of $26 Per Parcel,Special Tax Fees/Levy,Z,61.5,38.5,Fail,two-thirds,2004,General,11/2/2004 0:00
San Mateo,Daly City,Sales Tax Revenue Bond,Sales Tax: 1/4›,Special Tax Fees/Levy,M,35,65,Fail,Majority,2004,General,11/2/2004 0:00
San Mateo,Daly City,PLF Debt,"Increase Annual Buisness License Tax from a Min. $50/Yr to $100; Increase of 30› Per $1,000 of Gross Receipts Greater Than $100,000; Effective 1/1/2005",Special Tax Fees/Levy,N,52.3,47.7,Pass,Majority,2004,General,11/2/2004 0:00
Kern,Tehachapi,PLF Debt,Transient Occupancy Tax: Increase Tax from 8% to 12%,Special Tax Fees/Levy,T,39.8,60.2,Fail,Majority,2004,General,11/2/2004 0:00
Calaveras,Calaveras County,PLF Debt,TOT: Increase TOT 6% to 10% Effective 1/1/05,Special Tax Fees/Levy,D,41.8,58.2,Fail,Majority,2004,General,11/2/2004 0:00
Yolo,West Sacramento,PLF Debt,TOT: Increase from 8% to 12%,Special Tax Fees/Levy,T,68.5,31.5,Pass,Majority,2004,General,11/2/2004 0:00
Madera,Madera,PLF Debt,"Sales Tax:.25% Increase, Expires In 10 Yrs",Special Tax Fees/Levy,L,46.3,53.7,Fail,Majority,2004,General,11/2/2004 0:00
Madera,Madera,PLF Debt,"Utility Users Tax: 1.25% for All Utility Users, Reduced to .75% for Commercial Users, Expires In 10 Yrs",Special Tax Fees/Levy,M,28.8,71.2,Fail,Majority,2004,General,11/2/2004 0:00
Orange,Mission Viejo,PLF Debt,TOT: Increase from 8% to 10%,Special Tax Fees/Levy,K,40.8,59.2,Fail,Majority,2004,General,11/2/2004 0:00
Tulare,Farmersville,PLF Debt,Impose 1/2› Sales Tax,Special Tax Fees/Levy,U,63.7,36.3,Pass,Majority,2004,General,11/2/2004 0:00
Tulare,Farmersville,PLF Debt,Utility Users Tax: 4%,Special Tax Fees/Levy,V,51.6,48.4,Pass,Majority,2004,General,11/2/2004 0:00
Lake,Lakeport,Sales Tax Revenue Bond,Sales Tax: Increase 1/2›,Special Tax Fees/Levy,I,59.6,40.4,Pass,Majority,2004,General,11/2/2004 0:00
Stanislaus,Patterson,PLF Debt,TOT: Increase to 8%,Special Tax Fees/Levy,B,55.4,44.7,Pass,Majority,2004,General,11/2/2004 0:00
Monterey,Sand City,Sales Tax Revenue Bond,Sales Tax: Increase 1/2 of 1% (0.50%),Special Tax Fees/Levy,L,56.1,43.9,Pass,Majority,2004,General,11/2/2004 0:00
Yuba,Wheatland,PLF Debt,Excise Tax: 1% of the Total Valuation of Construction Work Authorized by the Building Permit for New/Expanded Houses and Other Bldgs/Structures,Special Tax Fees/Levy,E,59.9,40.1,Fail,two-thirds,2004,General,11/2/2004 0:00
Tulare,Woodlake,PLF Debt,Impose 1/2› Sales Tax for 10 Yrs,Special Tax Fees/Levy,X,41.3,58.7,Fail,Majority,2004,General,11/2/2004 0:00
Colusa,Colusa County,Sales Tax Revenue Bond,Sales Tax: 1/2› for 3 Yrs,Special Tax Fees/Levy,C,45.6,54.4,Fail,Majority,2004,General,11/2/2004 0:00
Siskiyou,Siskiyou County,PLF Debt,"TOT: 2% Increase, from 8%-10%",Special Tax Fees/Levy,M,42.6,57.4,Fail,Majority,2004,General,11/2/2004 0:00
Los Angeles,Cudahy,PLF Debt,"Utility Users Tax: Est.1991 Be Affirmed That the Residential Utility Users Tax Remain at 4% and the Commercial Utility Users Tax Be Set at 8%, Provided That Eligible Seniors 62 and Older Remain Exempt from the Tax",Special Tax Fees/Levy,P,76.9,23.1,Pass,Majority,2004,General,11/2/2004 0:00
San Mateo,East Palo Alto,PLF Debt,"10% Gross Reciepts Tax Increase on Hazardous Waste Disposal Facilities from $1 for Every $1,000 Up to $10 Million; or $0.50 for Every $1,000 Over $10 Million",Special Tax Fees/Levy,R,75.2,24.8,Pass,Majority,2004,General,11/2/2004 0:00
Orange,Fountain Valley,PLF Debt,Business Tax: Increase from $50/Yr to $75/Yr for Small Businesses,Special Tax Fees/Levy,J,38.4,61.6,Fail,Majority,2004,General,11/2/2004 0:00
